Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2026/04/30 09:34:47,"4,500",-,-,-,-,-,Money Sent,はまの,PayPay Balance,-,-,02256957954106687498
2026/04/28 22:08:20,-,"10,000",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02255861990123315217
2026/04/28 22:08:20,"2,970",-,-,-,-,-,Payment,MIU　MIU　ASIAN　SHOP - MIU　MIU　ASIAN　SHOP,PayPay Balance,-,-,04967010269482729480
2026/04/28 19:06:41,"4,000",-,-,-,-,-,Payment,東京ディズニーリゾート（通販）,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026042819064100866937
2026/04/28 00:40:30,330,-,-,-,-,-,Payment,セブン-イレブン - 北松戸駅西口,Credit VISA 7414,-,-,04966346533826822144
2026/04/28 00:36:17,840,-,-,-,-,-,Payment,セブン-イレブン - 北松戸駅西口,Credit VISA 7414,-,-,04966344351983206403
2026/04/28 00:00:00,"1,872",-,-,-,-,-,Payment,QP/イオンフードスタイル,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_C_202605030800004765201682
2026/04/28 00:00:00,"3,080",-,-,-,-,-,Payment,QP/トウキヨウデイズニー,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_C_202605020800004758659019
2026/04/28 00:00:00,400,-,-,-,-,-,Payment,QP/トウキヨウデイズニー,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_C_202605020800004758659023
2026/04/27 15:50:39,140,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026042715503900646232
2026/04/27 13:12:38,528,-,-,-,-,-,Money Sent,Thao,PayPay Balance,-,-,02254843730686451713
2026/04/27 13:02:08,"1,000",-,-,-,-,-,Payment,株式会社JSコーポレーション - 鳥利久　グランドセントラルタワー店,PayPay Balance,-,-,04965986598387703809
2026/04/27 09:29:15,423,-,-,-,-,-,Payment,ファミリーマート - 品川グランパサージュ,Credit VISA 7414,-,-,04965876870563749894
2026/04/26 16:51:03,"5,420",-,-,-,-,-,Payment,ほぐるん北松戸店 - 北松戸店,Credit VISA 7414,-,-,04965362410790305794
2026/04/25 20:08:49,"2,644",-,-,-,-,-,Payment,Nghe Tinh Quan,PayPay Balance,-,-,04964722160015843336
2026/04/25 19:50:38,"1,760",-,-,-,-,-,Money Sent,Nhài Nhanh Nhẩu,PayPay Balance,-,-,02253564517626617856
2026/04/25 13:38:02,230,-,-,-,-,-,Payment,ファミリーマート - 葛西臨海公園駅前,PayPay Balance,-,-,04964520760409120768
2026/04/25 00:00:00,"1,838",-,-,-,-,-,Payment,QP/イオンフードスタイル,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_C_202605010800004749457732
2026/04/25 00:00:00,605,-,-,-,-,-,Payment,QP/マイバスケツト,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_C_202605010800004749487688
2026/04/24 21:38:47,"4,825",-,-,-,-,-,Payment,MIU　MIU　ASIAN　SHOP - MIU　MIU　ASIAN　SHOP,PayPay Balance,-,-,04964026366723768321
2026/04/24 21:38:47,-,"10,000",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02252878087364468751
2026/04/24 14:32:34,110,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026042414323400238390
2026/04/24 13:09:09,990,-,-,-,-,-,Payment,大戸屋ごはん処 - 品川グランパサージュ店,Credit VISA 7414,-,-,04963763703703797761
2026/04/24 08:18:37,716,-,-,-,-,-,Payment,ファミリーマート - 北松戸駅西口,Credit VISA 7414,-,-,04963613955373572108
2026/04/23 17:48:03,450,-,-,-,-,-,Payment,Appleサービス,Credit VISA 7414,-,-,04963165268729389060
2026/04/22 09:49:46,431,-,-,-,-,-,Payment,ファミリーマート - 品川グランパサージュ,PayPay Balance,-,-,04962176593027538954
2026/04/20 16:02:45,378,-,-,-,-,-,Payment,デイリーヤマザキ - 京王品川ビル,PayPay Balance,-,-,04960884495064981512
2026/04/20 12:17:30,677,-,-,-,-,-,Payment,デイリーヤマザキ - 京王品川ビル,PayPay Balance,-,-,04960768402097889287
2026/04/20 09:42:14,426,-,-,-,-,-,Payment,ファミリーマート - 品川グランパサージュ,PayPay Balance,-,-,04960688369678147587
2026/04/19 20:57:18,587,-,-,-,-,-,Payment,ツルハホールディングス - くすりの福太郎南千住店,PayPay Balance,-,-,04960294126039834627
2026/04/19 20:42:48,"4,056",-,-,-,-,-,Payment,ロイヤルホームセンター - ロイヤルホームセンター南千住,PayPay Balance,-,-,04960286661385986048
2026/04/19 19:37:15,-,"10,000",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02249104589227548694
2026/04/19 19:37:14,"9,339",-,-,-,-,-,Payment,しまむら - しまむら　ＬａＬａテラス南千住店,PayPay Balance,-,-,04960252868583628806
2026/04/19 12:36:10,"5,400",-,-,-,-,-,Payment,TikTok Shop Seller,Credit VISA 7414,One-time Payment,-,04960035852476620804
2026/04/18 18:50:54,553,-,-,-,-,-,Payment,セリア - 2232キテミテマツド店,PayPay Balance,-,-,04959486809627115525
2026/04/18 17:51:34,-,"10,000",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02248307950103420959
2026/04/18 17:51:34,"5,680",-,-,-,-,-,Payment,Nghe Tinh Quan,PayPay Balance,-,-,04959456229459451904
2026/04/18 17:26:44,698,-,-,-,-,-,Money Sent,Nhài Nhanh Nhẩu,PayPay Balance,-,-,02248295151100706828
2026/04/18 16:31:07,213,-,-,-,-,-,Payment,ファミリーマート - 葛西臨海公園駅前,PayPay Balance,-,-,04959414765846028295
2026/04/18 14:18:02,"3,000",-,-,-,-,-,Payment,モバイルＰＡＳＭＯチャージ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026041814180200949770
2026/04/17 13:18:03,149,-,-,-,-,-,Payment,デイリーヤマザキ - 京王品川ビル,PayPay Balance,-,-,04958573089694294020
2026/04/17 12:10:42,260,-,-,-,-,-,Money Sent,Thao,PayPay Balance,-,-,02247390107001143296
2026/04/17 09:50:24,420,-,-,-,-,-,Money Sent,Thao,PayPay Balance,-,-,02247317788341665796
2026/04/17 09:41:34,425,-,-,-,-,-,Payment,ファミリーマート - 品川グランパサージュ,PayPay Balance,-,-,04958461515034484743
2026/04/17 00:19:38,"10,000",-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04958171905389264896
2026/04/15 21:16:49,"1,289",-,-,-,-,-,Payment,イトーヨーカドー - イトーヨーカドー松戸店,PayPay Balance,-,-,04957335503458484232
2026/04/15 16:57:08,110,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026041516570800876734
2026/04/15 14:34:22,140,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026041514342200298891
2026/04/15 13:11:50,-,500,-,-,-,JP,Money Received,Pham Quang Duy,PayPay Balance,-,-,02245937274183909380
2026/04/15 12:45:31,"1,100",-,-,-,-,-,Payment,株式会社JSコーポレーション - 鳥利久　グランドセントラルタワー店,PayPay Balance,-,-,04957071990034849794
2026/04/13 21:23:36,"1,810",-,-,-,-,-,Payment,MIU　MIU　ASIAN　SHOP - MIU　MIU　ASIAN　SHOP,PayPay Balance,-,-,04955854667452620801
2026/04/13 21:11:46,"3,990",-,-,-,-,-,Payment,Nghe Tinh Quan,PayPay Balance,-,-,04955848568598863872
2026/04/13 21:11:46,-,"10,000",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02244700289243045894
2026/04/13 16:23:35,110,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026041316233500849160
2026/04/13 14:52:19,500,-,-,-,-,-,Money Sent,秋,PayPay Balance,-,-,02244504713611952141
2026/04/13 13:04:29,-,"1,200",-,-,-,JP,Money Received,Pham Quang Duy,PayPay Balance,-,-,02244449136736108551
2026/04/13 13:00:02,"1,000",-,-,-,-,-,Payment,株式会社JSコーポレーション - 鳥利久　グランドセントラルタワー店,PayPay Balance,-,-,04955595131168219139
2026/04/13 10:14:30,140,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026041310143000214618
2026/04/13 00:00:00,622,-,-,-,-,-,Payment,QP/マイバスケツト,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_C_202604180800004657407467
2026/04/12 20:53:05,"3,590",-,-,-,-,-,Payment,タイムズカー,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026041220530500033415
2026/04/12 16:58:07,441,-,-,-,-,-,Payment,ファミリーマート - 葛西臨海公園駅前,PayPay Balance,-,-,04954975668035485699
2026/04/12 13:40:03,150,-,-,-,-,-,Payment,ファミリーマート - 葛西臨海公園駅前,PayPay Balance,-,-,04954873585252384768
2026/04/11 20:03:59,"1,360",-,-,-,-,-,Payment,ゴンチャ - ゴンチャ　松戸店,PayPay Balance,-,-,04954329284047888390
2026/04/11 19:20:12,"3,312",-,-,-,-,-,Payment,アトレ - アトレ松戸,PayPay Balance,-,-,04954306726879649792
2026/04/11 19:08:39,"2,280",-,-,-,-,-,Payment,ユニクロ - ユニクロアトレ松戸店,PayPay Balance,-,-,04954300774054592514
2026/04/11 19:08:39,-,"10,000",-,-,-,-,Top-Up,PayPay,Credit VISA 7414,-,-,02243152494699175955
2026/04/11 16:07:47,"4,420",-,-,-,-,-,Payment,明洞ポチャ - 明洞ポチャ,PayPay Balance,-,-,04954207547494613001
2026/04/10 14:34:37,140,-,-,-,-,-,Payment,ＣｏｋｅＯＮＰａｙ／Ａｐｐｌｅ　Ｐａｙ,PayPay Card VISA 7414,One-time Payment,Personal Use,PPCD_A_2026041014343700368347
